,PLAYER,TEAM
0,Jaylen Brown,BOS
1,Carsen Edwards,BOS
2,Tacko Fall,BOS
3,Javonte Green,BOS
4,Gordon Hayward,BOS
5,Enes Kanter,BOS
6,Romeo Langford,BOS
7,Semi Ojeleye,BOS
8,Vincent Poirier,BOS
9,Marcus Smart,BOS
10,Jayson Tatum,BOS
11,Daniel Theis,BOS
12,Kemba Walker,BOS
13,Brad Wanamaker,BOS
14,Tremont Waters,BOS
15,Grant Williams,BOS
16,Robert Williams,BOS
17,Jarrett Allen,BRK
18,Justin Anderson,BRK
19,Chris Chiozza,BRK
20,Donta Hall,BRK
21,Joe Harris,BRK
22,Tyler Johnson,BRK
23,Rodions Kurucs,BRK
24,Caris LeVert,BRK
26,Jeremiah Martin,BRK
27,Timothé Luwawu-Cabarrot,BRK
28,Garrett Temple,BRK
29,Lance Thomas,BRK
30,J.J. Barea,DAL
31,Trey Burke,DAL
32,Antonius Cleveland,DAL
33,Seth Curry,DAL
34,Luka Dončić,DAL
35,Dorian Finney-Smith,DAL
36,Tim Hardaway,DAL
37,Justin Jackson,DAL
38,Michael Kidd-Gilchrist,DAL
39,Maxi Kleber,DAL
40,Boban Marjanović,DAL
41,Kristaps Porziņģis,DAL
42,Josh Reaves,DAL
43,Delon Wright,DAL
44,Keita Bates-Diop,DEN
45,Bol Bol,DEN
46,Tyler Cook,DEN
47,Torrey Craig,DEN
48,Troy Daniels,DEN
49,PJ Dozier,DEN
50,Jerami Grant,DEN
51,Gary Harris,DEN
52,Nikola Jokić,DEN
53,Paul Millsap,DEN
54,Monte Morris,DEN
55,Jamal Murray,DEN
56,Mason Plumlee,DEN
57,Michael Porter,DEN
58,Noah Vonleh,DEN
59,Bruno Caboclo,HOU
60,DeMarre Carroll,HOU
61,Tyson Chandler,HOU
62,Chris Clemons,HOU
63,Robert Covington,HOU
64,Michael Frazier,HOU
65,Eric Gordon,HOU
66,Jeff Green,HOU
67,James Harden,HOU
68,Danuel House,HOU
69,Ben McLemore,HOU
70,Austin Rivers,HOU
71,P.J. Tucker,HOU
72,Russell Westbrook,HOU
73,Malcolm Brogdon,IND
74,Aaron Holiday,IND
75,Justin Holiday,IND
76,Alize Johnson,IND
77,T.J. McConnell,IND
78,Doug McDermott,IND
79,Victor Oladipo,IND
80,JaKarr Sampson,IND
81,Edmond Sumner,IND
82,Myles Turner,IND
83,T.J. Warren,IND
84,Patrick Beverley,LAC
85,Amir Coffey,LAC
86,Paul George,LAC
87,JaMychal Green,LAC
88,Montrezl Harrell,LAC
89,Reggie Jackson,LAC
90,Kawhi Leonard,LAC
91,Terance Mann,LAC
92,Rodney McGruder,LAC
93,Marcus Morris,LAC
94,Joakim Noah,LAC
95,Patrick Patterson,LAC
96,Landry Shamet,LAC
97,Lou Williams,LAC
98,Ivica Zubac,LAC
99,Kentavious Caldwell-Pope,LAL
100,Alex Caruso,LAL
101,Quinn Cook,LAL
102,Anthony Davis,LAL
103,Jared Dudley,LAL
104,Danny Green,LAL
106,Dwight Howard,LAL
107,LeBron James,LAL
108,Kyle Kuzma,LAL
109,JaVale McGee,LAL
110,Markieff Morris,LAL
111,Rajon Rondo,LAL
112,J.R. Smith,LAL
113,Dion Waiters,LAL
114,Bam Adebayo,MIA
115,Jimmy Butler,MIA
116,Jae Crowder,MIA
117,Goran Dragić,MIA
118,Tyler Herro,MIA
119,Solomon Hill,MIA
120,Andre Iguodala,MIA
121,Derrick Jones,MIA
122,Meyers Leonard,MIA
123,Kendrick Nunn,MIA
124,Kelly Olynyk,MIA
125,Duncan Robinson,MIA
126,Gabe Vincent,MIA
127,Giannis Antetokounmpo,MIL
128,Eric Bledsoe,MIL
129,Sterling Brown,MIL
130,Pat Connaughton,MIL
131,Donte DiVincenzo,MIL
132,George Hill,MIL
133,Ersan İlyasova,MIL
134,Kyle Korver,MIL
135,Brook Lopez,MIL
136,Robin Lopez,MIL
137,Frank Mason,MIL
138,Wesley Matthews,MIL
139,Khris Middleton,MIL
140,Marvin Williams,MIL
141,Steven Adams,OKC
142,Darius Bazley,OKC
143,Deonte Burton,OKC
144,Hamidou Diallo,OKC
145,Luguentz Dort,OKC
146,Terrance Ferguson,OKC
147,Danilo Gallinari,OKC
148,Shai Gilgeous-Alexander,OKC
149,Mike Muscala,OKC
150,Abdel Nader,OKC
151,Nerlens Noel,OKC
152,Chris Paul,OKC
153,Andre Roberson,OKC
154,Dennis Schröder,OKC
155,D.J. Augustin,ORL
156,Khem Birch,ORL
157,Gary Clark,ORL
158,James Ennis,ORL
159,Evan Fournier,ORL
160,Markelle Fultz,ORL
161,Wesley Iwundu,ORL
162,B.J. Johnson,ORL
163,Vic Law,ORL
164,Terrence Ross,ORL
165,Nikola Vučević,ORL
166,Alec Burks,PHI
168,Tobias Harris,PHI
169,Al Horford,PHI
170,Furkan Korkmaz,PHI
171,Shake Milton,PHI
172,Raul Neto,PHI
173,Kyle O'Quinn,PHI
174,Norvel Pelle,PHI
175,Josh Richardson,PHI
176,Mike Scott,PHI
177,Matisse Thybulle,PHI
178,Jaylen Adams,POR
179,Carmelo Anthony,POR
180,Wenyen Gabriel,POR
181,Mario Hezonja,POR
182,Jaylen Hoard,POR
183,Damian Lillard,POR
184,CJ McCollum,POR
185,Jusuf Nurkić,POR
186,Anfernee Simons,POR
187,Gary Trent,POR
188,Hassan Whiteside,POR
189,OG Anunoby,TOR
190,Chris Boucher,TOR
191,Terence Davis,TOR
192,Marc Gasol,TOR
193,Rondae Hollis-Jefferson,TOR
194,Serge Ibaka,TOR
195,Stanley Johnson,TOR
196,Kyle Lowry,TOR
197,Malcolm Miller,TOR
198,Norman Powell,TOR
199,Pascal Siakam,TOR
200,Matt Thomas,TOR
201,Fred VanVleet,TOR
202,Paul Watson,TOR
203,Tony Bradley,UTA
204,Jarrell Brantley,UTA
205,Jordan Clarkson,UTA
206,Mike Conley,UTA
207,Rudy Gobert,UTA
208,Joe Ingles,UTA
209,Donovan Mitchell,UTA
210,Juwan Morgan,UTA
211,Emmanuel Mudiay,UTA
212,Georges Niang,UTA
213,Royce O'Neale,UTA
214,Miye Oni,UTA
215,Rayjon Tucker,UTA
216,Nigel Williams-Goss,UTA
