,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G,TEAM,SEASON
0,25.3,48.0,24.0,50,22,6.31,-0.47,5.83,113.3,107.0,6.3,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,TD Garden,610864,19090,BOS,2019-20
1,26.3,35.0,37.0,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,0.267,0.423,0.5539999999999999,0.52,13.1,23.2,0.19899999999999998,0.511,11.0,77.8,0.187,Barclays Center,524907,16403,BRK,2019-20
2,26.1,43.0,32.0,49,26,4.95,-0.07,4.87,116.7,111.7,5.0,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.20600000000000002,0.525,10.6,77.7,0.175,American Airlines Center,682096,20062,DAL,2019-20
3,25.6,46.0,27.0,41,32,2.11,0.24,2.35,113.1,111.0,2.1,97.1,0.235,0.344,0.5670000000000001,0.535,12.3,24.8,0.183,0.5329999999999999,12.9,76.8,0.198,Pepsi Center,633153,19186,DEN,2019-20
4,29.2,44.0,28.0,42,30,2.96,0.17,3.13,112.9,110.1,2.8,103.7,0.28800000000000003,0.501,0.578,0.537,12.6,21.0,0.228,0.529,13.7,75.6,0.19699999999999998,Toyota Center,578458,18077,HOU,2019-20
5,25.6,45.0,28.0,41,32,1.96,-0.33,1.63,110.0,108.0,2.0,98.9,0.21600000000000003,0.317,0.565,0.534,12.0,20.0,0.17,0.511,13.0,76.7,0.192,Bankers Life Fieldhouse,529002,16531,IND,2019-20
6,27.4,49.0,23.0,50,22,6.44,0.21,6.66,113.9,107.6,6.3,101.5,0.295,0.375,0.5770000000000001,0.535,12.6,23.5,0.233,0.506,12.2,77.6,0.20600000000000002,STAPLES Center,610176,19068,LAC,2019-20
7,29.5,52.0,19.0,48,23,5.79,0.49,6.28,112.0,106.3,5.7,100.9,0.276,0.358,0.573,0.542,13.3,24.5,0.201,0.515,14.1,78.8,0.205,STAPLES Center,588907,18997,LAL,2019-20
8,25.9,44.0,29.0,43,30,2.95,-0.35,2.59,112.5,109.5,3.0,98.3,0.299,0.419,0.5870000000000001,0.547,13.5,20.3,0.23399999999999999,0.523,12.6,79.5,0.213,AmericanAirlines Arena,629771,19680,MIA,2019-20
9,29.2,56.0,17.0,57,16,10.08,-0.67,9.41,112.4,102.9,9.5,105.1,0.271,0.428,0.583,0.552,12.9,20.7,0.201,0.489,12.0,81.6,0.17800000000000002,Fiserv Forum,549036,17711,MIL,2019-20
10,25.5,44.0,28.0,41,31,1.99,0.34,2.33,110.8,108.8,2.0,98.8,0.29,0.353,0.573,0.53,12.4,19.3,0.231,0.518,12.6,76.8,0.17300000000000001,Chesapeake Energy Arena,600699,18203,OKC,2019-20
11,26.1,33.0,40.0,34,39,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,0.256,0.364,0.544,0.506,11.5,22.3,0.198,0.535,13.2,79.1,0.17600000000000002,Amway Center,529870,17093,ORL,2019-20
12,26.3,43.0,30.0,42,31,2.38,-0.13,2.25,111.3,109.0,2.3,99.0,0.255,0.36,0.5660000000000001,0.534,12.7,23.9,0.193,0.523,12.5,80.3,0.214,Wells Fargo Center,639491,20629,PHI,2019-20
13,27.5,35.0,39.0,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,0.242,0.374,0.57,0.5329999999999999,11.2,22.4,0.19399999999999998,0.53,11.2,75.3,0.20800000000000002,Moda Center,628303,19634,POR,2019-20
14,26.6,53.0,19.0,50,22,6.24,-0.26,5.97,111.1,105.0,6.1,100.9,0.264,0.42100000000000004,0.574,0.536,13.1,21.3,0.21,0.502,14.6,76.7,0.20199999999999999,Scotiabank Arena,633456,19796,TOR,2019-20
15,27.3,44.0,28.0,42,30,2.47,0.05,2.52,112.3,109.9,2.4,98.6,0.268,0.414,0.585,0.5489999999999999,13.7,21.6,0.20800000000000002,0.518,11.1,78.9,0.185,Vivint Smart Home Arena,567486,18306,UTA,2019-20
